WellName,SampleDate,Variable,Result
P1,01/11/2012,Chlorure de vinyle,"<0,1"
P1,01/11/2012,"1,1-dichloroéthylène","<0,1"
P1,01/11/2012,Dichlorométhane,"<0,5"
P1,01/11/2012,"Cis-1,2 Dichloroéthylène*","<0,1"
P1,01/11/2012,Chloroforme,"<0,1"
P1,01/11/2012,"1,1,1, Trichloroéthane",0.17
P1,01/11/2012,"1,1-dichloroéthane","<0,1"
P1,01/11/2012,"Trans-1,2 Dichloroéthylène*","<0,1"
P1,01/11/2012,"1,2-dichloroéthane","<0,1"
P1,01/11/2012,"1,1,2, Trichloroéthane",
P1,01/11/2012,Bromochlorométhane,
P1,01/11/2012,Dibromométhane,
P1,01/11/2012,Bromodichlorométhane,
P1,01/11/2012,Dibromochlorométhane,
P1,01/11/2012,"1,2-dibromoéthane",
P1,01/11/2012,Bromoforme,
P1,01/11/2012,Tétrachlorure de carbone,"<0,1"
P1,01/11/2012,Trichloroéthylène (TCE),0.93
P1,01/11/2012,Tétrachloroéthylène (PCE),0.17
P1,01/11/2012,TCE+PCE,1.1
P1,01/05/2012,Chlorure de vinyle,"<0,1"
P1,01/05/2012,"1,1-dichloroéthylène","<0,1"
P1,01/05/2012,Dichlorométhane,"<0,5"
P1,01/05/2012,"Cis-1,2 Dichloroéthylène*","<0,1"
P1,01/05/2012,Chloroforme,0.12
P1,01/05/2012,"1,1,1, Trichloroéthane","<0,1"
P1,01/05/2012,"1,1-dichloroéthane","<0,1"
P1,01/05/2012,"Trans-1,2 Dichloroéthylène*","<0,1"
P1,01/05/2012,"1,2-dichloroéthane","<0,1"
P1,01/05/2012,"1,1,2, Trichloroéthane",
P1,01/05/2012,Bromochlorométhane,
P1,01/05/2012,Dibromométhane,
P1,01/05/2012,Bromodichlorométhane,
P1,01/05/2012,Dibromochlorométhane,
P1,01/05/2012,"1,2-dibromoéthane",
P1,01/05/2012,Bromoforme,
P1,01/05/2012,Tétrachlorure de carbone,"<0,1"
P1,01/05/2012,Trichloroéthylène (TCE),"<0,1"
P1,01/05/2012,Tétrachloroéthylène (PCE),0.14
P1,01/05/2012,TCE+PCE,0.14
P1,28/10/2011,Chlorure de vinyle,<0.5
P1,28/10/2011,"1,1-dichloroéthylène",<2
P1,28/10/2011,Dichlorométhane,<5
P1,28/10/2011,"Cis-1,2 Dichloroéthylène*",<2
P1,28/10/2011,Chloroforme,<2
P1,28/10/2011,"1,1,1, Trichloroéthane",<2
P1,28/10/2011,"1,1-dichloroéthane",<2
P1,28/10/2011,"Trans-1,2 Dichloroéthylène*",<2
P1,28/10/2011,"1,2-dichloroéthane",<1
P1,28/10/2011,"1,1,2, Trichloroéthane",<5
P1,28/10/2011,Bromochlorométhane,<5
P1,28/10/2011,Dibromométhane,<5
P1,28/10/2011,Bromodichlorométhane,<5
P1,28/10/2011,Dibromochlorométhane,<2
P1,28/10/2011,"1,2-dibromoéthane",<1
P1,28/10/2011,Bromoforme,<5
P1,28/10/2011,Tétrachlorure de carbone,<1
P1,28/10/2011,Trichloroéthylène (TCE),<1
P1,28/10/2011,Tétrachloroéthylène (PCE),<1
P1,28/10/2011,TCE+PCE,-
P1,15/04/2011,Chlorure de vinyle,<0.5
P1,15/04/2011,"1,1-dichloroéthylène",<2
P1,15/04/2011,Dichlorométhane,<5
P1,15/04/2011,"Cis-1,2 Dichloroéthylène*",<2
P1,15/04/2011,Chloroforme,<2
P1,15/04/2011,"1,1,1, Trichloroéthane",<2
P1,15/04/2011,"1,1-dichloroéthane",<2
P1,15/04/2011,"Trans-1,2 Dichloroéthylène*",<2
P1,15/04/2011,"1,2-dichloroéthane",<1
P1,15/04/2011,"1,1,2, Trichloroéthane",<5
P1,15/04/2011,Bromochlorométhane,<5
P1,15/04/2011,Dibromométhane,<5
P1,15/04/2011,Bromodichlorométhane,<5
P1,15/04/2011,Dibromochlorométhane,<2
P1,15/04/2011,"1,2-dibromoéthane",<1
P1,15/04/2011,Bromoforme,<5
P1,15/04/2011,Tétrachlorure de carbone,<1
P1,15/04/2011,Trichloroéthylène (TCE),<1
P1,15/04/2011,Tétrachloroéthylène (PCE),<1
P1,15/04/2011,TCE+PCE,-
P1,28/10/2010,Chlorure de vinyle,<0.5
P1,28/10/2010,"1,1-dichloroéthylène",<2
P1,28/10/2010,Dichlorométhane,<5
P1,28/10/2010,"Cis-1,2 Dichloroéthylène*",<2
P1,28/10/2010,Chloroforme,<2
P1,28/10/2010,"1,1,1, Trichloroéthane",<2
P1,28/10/2010,"1,1-dichloroéthane",<2
P1,28/10/2010,"Trans-1,2 Dichloroéthylène*",<2
P1,28/10/2010,"1,2-dichloroéthane",<1
P1,28/10/2010,"1,1,2, Trichloroéthane",<5
P1,28/10/2010,Bromochlorométhane,<5
P1,28/10/2010,Dibromométhane,<5
P1,28/10/2010,Bromodichlorométhane,<5
P1,28/10/2010,Dibromochlorométhane,<2
P1,28/10/2010,"1,2-dibromoéthane",<1
P1,28/10/2010,Bromoforme,<5
P1,28/10/2010,Tétrachlorure de carbone,<1
P1,28/10/2010,Trichloroéthylène (TCE),<1
P1,28/10/2010,Tétrachloroéthylène (PCE),<1
P1,28/10/2010,TCE+PCE,-
P1,15/04/2010,Chlorure de vinyle,"<0,5"
P1,15/04/2010,"1,1-dichloroéthylène",<2
P1,15/04/2010,Dichlorométhane,<5
P1,15/04/2010,"Cis-1,2 Dichloroéthylène*",<2
P1,15/04/2010,Chloroforme,<2
P1,15/04/2010,"1,1,1, Trichloroéthane",<2
P1,15/04/2010,"1,1-dichloroéthane",<2
P1,15/04/2010,"Trans-1,2 Dichloroéthylène*",<2
P1,15/04/2010,"1,2-dichloroéthane",<1
P1,15/04/2010,"1,1,2, Trichloroéthane",<5
P1,15/04/2010,Bromochlorométhane,<5
P1,15/04/2010,Dibromométhane,<5
P1,15/04/2010,Bromodichlorométhane,<5
P1,15/04/2010,Dibromochlorométhane,<2
P1,15/04/2010,"1,2-dibromoéthane",<1
P1,15/04/2010,Bromoforme,<5
P1,15/04/2010,Tétrachlorure de carbone,<1
P1,15/04/2010,Trichloroéthylène (TCE),<1
P1,15/04/2010,Tétrachloroéthylène (PCE),<1
P1,15/04/2010,TCE+PCE,-
P1,28/10/2009,Chlorure de vinyle,<0.5
P1,28/10/2009,"1,1-dichloroéthylène",<2
P1,28/10/2009,Dichlorométhane,<5
P1,28/10/2009,"Cis-1,2 Dichloroéthylène*",<2
P1,28/10/2009,Chloroforme,<2
P1,28/10/2009,"1,1,1, Trichloroéthane",<2
P1,28/10/2009,"1,1-dichloroéthane",<2
P1,28/10/2009,"Trans-1,2 Dichloroéthylène*",<2
P1,28/10/2009,"1,2-dichloroéthane",<1
P1,28/10/2009,"1,1,2, Trichloroéthane",<5
P1,28/10/2009,Bromochlorométhane,<5
P1,28/10/2009,Dibromométhane,<5
P1,28/10/2009,Bromodichlorométhane,<5
P1,28/10/2009,Dibromochlorométhane,<2
P1,28/10/2009,"1,2-dibromoéthane",<1
P1,28/10/2009,Bromoforme,<5
P1,28/10/2009,Tétrachlorure de carbone,<1
P1,28/10/2009,Trichloroéthylène (TCE),<1
P1,28/10/2009,Tétrachloroéthylène (PCE),<1
P1,28/10/2009,TCE+PCE,-
P1,15/05/2009,Chlorure de vinyle,"<0,5"
P1,15/05/2009,"1,1-dichloroéthylène",<2
P1,15/05/2009,Dichlorométhane,<5
P1,15/05/2009,"Cis-1,2 Dichloroéthylène*",<2
P1,15/05/2009,Chloroforme,<2
P1,15/05/2009,"1,1,1, Trichloroéthane",<2
P1,15/05/2009,"1,1-dichloroéthane",<2
P1,15/05/2009,"Trans-1,2 Dichloroéthylène*",<2
P1,15/05/2009,"1,2-dichloroéthane",<1
P1,15/05/2009,"1,1,2, Trichloroéthane",<5
P1,15/05/2009,Bromochlorométhane,<5
P1,15/05/2009,Dibromométhane,<5
P1,15/05/2009,Bromodichlorométhane,<5
P1,15/05/2009,Dibromochlorométhane,<2
P1,15/05/2009,"1,2-dibromoéthane",<1
P1,15/05/2009,Bromoforme,<5
P1,15/05/2009,Tétrachlorure de carbone,<1
P1,15/05/2009,Trichloroéthylène (TCE),<1
P1,15/05/2009,Tétrachloroéthylène (PCE),<1
P1,15/05/2009,TCE+PCE,-
P1,13/10/2008,Chlorure de vinyle,"<0,5"
P1,13/10/2008,"1,1-dichloroéthylène",<2
P1,13/10/2008,Dichlorométhane,<5
P1,13/10/2008,"Cis-1,2 Dichloroéthylène*",<2
P1,13/10/2008,Chloroforme,<2
P1,13/10/2008,"1,1,1, Trichloroéthane",<2
P1,13/10/2008,"1,1-dichloroéthane",<2
P1,13/10/2008,"Trans-1,2 Dichloroéthylène*",<2
P1,13/10/2008,"1,2-dichloroéthane",<1
P1,13/10/2008,"1,1,2, Trichloroéthane",<5
P1,13/10/2008,Bromochlorométhane,<5
P1,13/10/2008,Dibromométhane,<5
P1,13/10/2008,Bromodichlorométhane,<5
P1,13/10/2008,Dibromochlorométhane,<2
P1,13/10/2008,"1,2-dibromoéthane",<1
P1,13/10/2008,Bromoforme,<5
P1,13/10/2008,Tétrachlorure de carbone,<1
P1,13/10/2008,Trichloroéthylène (TCE),<1
P1,13/10/2008,Tétrachloroéthylène (PCE),8.2
P1,13/10/2008,TCE+PCE,8.2
P1,01/04/2008,Chlorure de vinyle,"<0,5"
P1,01/04/2008,"1,1-dichloroéthylène",<2
P1,01/04/2008,Dichlorométhane,<5
P1,01/04/2008,"Cis-1,2 Dichloroéthylène*",<2
P1,01/04/2008,Chloroforme,<2
P1,01/04/2008,"1,1,1, Trichloroéthane",<2
P1,01/04/2008,"1,1-dichloroéthane",<2
P1,01/04/2008,"Trans-1,2 Dichloroéthylène*",<2
P1,01/04/2008,"1,2-dichloroéthane",<1
P1,01/04/2008,"1,1,2, Trichloroéthane",<5
P1,01/04/2008,Bromochlorométhane,<5
P1,01/04/2008,Dibromométhane,<5
P1,01/04/2008,Bromodichlorométhane,<5
P1,01/04/2008,Dibromochlorométhane,<2
P1,01/04/2008,"1,2-dibromoéthane",<1
P1,01/04/2008,Bromoforme,<5
P1,01/04/2008,Tétrachlorure de carbone,<1
P1,01/04/2008,Trichloroéthylène (TCE),<1
P1,01/04/2008,Tétrachloroéthylène (PCE),3.2
P1,01/04/2008,TCE+PCE,3.2
P1,01/07/2007,Chlorure de vinyle,
P1,01/07/2007,"1,1-dichloroéthylène",
P1,01/07/2007,Dichlorométhane,
P1,01/07/2007,"Cis-1,2 Dichloroéthylène*",
P1,01/07/2007,Chloroforme,
P1,01/07/2007,"1,1,1, Trichloroéthane",
P1,01/07/2007,"1,1-dichloroéthane",
P1,01/07/2007,"Trans-1,2 Dichloroéthylène*",
P1,01/07/2007,"1,2-dichloroéthane",
P1,01/07/2007,"1,1,2, Trichloroéthane",
P1,01/07/2007,Bromochlorométhane,
P1,01/07/2007,Dibromométhane,
P1,01/07/2007,Bromodichlorométhane,
P1,01/07/2007,Dibromochlorométhane,
P1,01/07/2007,"1,2-dibromoéthane",
P1,01/07/2007,Bromoforme,
P1,01/07/2007,Tétrachlorure de carbone,
P1,01/07/2007,Trichloroéthylène (TCE),
P1,01/07/2007,Tétrachloroéthylène (PCE),
P1,01/07/2007,TCE+PCE,
P1,01/12/2006,Chlorure de vinyle,"<0,5"
P1,01/12/2006,"1,1-dichloroéthylène",
P1,01/12/2006,Dichlorométhane,0.7
P1,01/12/2006,"Cis-1,2 Dichloroéthylène*","<0,5"
P1,01/12/2006,Chloroforme,"<0,5"
P1,01/12/2006,"1,1,1, Trichloroéthane","<0,5"
P1,01/12/2006,"1,1-dichloroéthane",
P1,01/12/2006,"Trans-1,2 Dichloroéthylène*",
P1,01/12/2006,"1,2-dichloroéthane",
P1,01/12/2006,"1,1,2, Trichloroéthane",
P1,01/12/2006,Bromochlorométhane,
P1,01/12/2006,Dibromométhane,
P1,01/12/2006,Bromodichlorométhane,
P1,01/12/2006,Dibromochlorométhane,
P1,01/12/2006,"1,2-dibromoéthane",
P1,01/12/2006,Bromoforme,
P1,01/12/2006,Tétrachlorure de carbone,"<0,5"
P1,01/12/2006,Trichloroéthylène (TCE),1.6
P1,01/12/2006,Tétrachloroéthylène (PCE),"<0,5"
P1,01/12/2006,TCE+PCE,1.6
P1,01/06/2006,Chlorure de vinyle,"<0,5"
P1,01/06/2006,"1,1-dichloroéthylène",
P1,01/06/2006,Dichlorométhane,"<0,5"
P1,01/06/2006,"Cis-1,2 Dichloroéthylène*","<0,5"
P1,01/06/2006,Chloroforme,"<0,5"
P1,01/06/2006,"1,1,1, Trichloroéthane","<0,5"
P1,01/06/2006,"1,1-dichloroéthane",
P1,01/06/2006,"Trans-1,2 Dichloroéthylène*",
P1,01/06/2006,"1,2-dichloroéthane",
P1,01/06/2006,"1,1,2, Trichloroéthane",
P1,01/06/2006,Bromochlorométhane,
P1,01/06/2006,Dibromométhane,
P1,01/06/2006,Bromodichlorométhane,
P1,01/06/2006,Dibromochlorométhane,
P1,01/06/2006,"1,2-dibromoéthane",
P1,01/06/2006,Bromoforme,
P1,01/06/2006,Tétrachlorure de carbone,"<0,5"
P1,01/06/2006,Trichloroéthylène (TCE),0.6
P1,01/06/2006,Tétrachloroéthylène (PCE),"<0,5"
P1,01/06/2006,TCE+PCE,00/01/1900
P1,01/12/2005,Chlorure de vinyle,"< 0,5"
P1,01/12/2005,"1,1-dichloroéthylène",
P1,01/12/2005,Dichlorométhane,"< 0,5"
P1,01/12/2005,"Cis-1,2 Dichloroéthylène*",01/01/1900
P1,01/12/2005,Chloroforme,"< 0,5"
P1,01/12/2005,"1,1,1, Trichloroéthane","< 0,5"
P1,01/12/2005,"1,1-dichloroéthane",
P1,01/12/2005,"Trans-1,2 Dichloroéthylène*",
P1,01/12/2005,"1,2-dichloroéthane",
P1,01/12/2005,"1,1,2, Trichloroéthane",
P1,01/12/2005,Bromochlorométhane,
P1,01/12/2005,Dibromométhane,
P1,01/12/2005,Bromodichlorométhane,
P1,01/12/2005,Dibromochlorométhane,
P1,01/12/2005,"1,2-dibromoéthane",
P1,01/12/2005,Bromoforme,
P1,01/12/2005,Tétrachlorure de carbone,"< 0,5"
P1,01/12/2005,Trichloroéthylène (TCE),4.1
P1,01/12/2005,Tétrachloroéthylène (PCE),"< 0,5"
P1,01/12/2005,TCE+PCE,4.1
P1,01/07/2005,Chlorure de vinyle,"< 0,5"
P1,01/07/2005,"1,1-dichloroéthylène",
P1,01/07/2005,Dichlorométhane,"< 0,5"
P1,01/07/2005,"Cis-1,2 Dichloroéthylène*","< 0,5"
P1,01/07/2005,Chloroforme,"< 0,5"
P1,01/07/2005,"1,1,1, Trichloroéthane","< 0,5"
P1,01/07/2005,"1,1-dichloroéthane",
P1,01/07/2005,"Trans-1,2 Dichloroéthylène*",
P1,01/07/2005,"1,2-dichloroéthane",
P1,01/07/2005,"1,1,2, Trichloroéthane",
P1,01/07/2005,Bromochlorométhane,
P1,01/07/2005,Dibromométhane,
P1,01/07/2005,Bromodichlorométhane,
P1,01/07/2005,Dibromochlorométhane,
P1,01/07/2005,"1,2-dibromoéthane",
P1,01/07/2005,Bromoforme,
P1,01/07/2005,Tétrachlorure de carbone,"< 0,5"
