WellName,SampleDate,Variable,Result,Unit
P1,11/01/2012,Chlorure de vinyle,0.1,ug/l
P1,11/01/2012,"1,1-dichloroethylene",0.1,ug/l
P1,11/01/2012,Dichloromethane,0.5,ug/l
P1,11/01/2012,"Cis-1,2 Dichloroethylene",0.1,ug/l
P1,11/01/2012,Chloroforme,0.1,ug/l
P1,11/01/2012,"1,1,1, Trichloroethane",0.17,ug/l
P1,11/01/2012,"1,1-dichloroethane",0.1,ug/l
P1,11/01/2012,"Trans-1,2 Dichloroethylene",0.1,ug/l
P1,11/01/2012,"1,2-dichloroethane",0.1,ug/l
P1,11/01/2012,Tetrachlorure de carbone,0.1,ug/l
P1,11/01/2012,Trichloroethylene (TCE),0.93,ug/l
P1,11/01/2012,Tetrachloroethylene (PCE),0.17,ug/l
P1,11/01/2012,TCE+PCE,1.1,ug/l
P1,05/01/2012,Chlorure de vinyle,0.1,ug/l
P1,05/01/2012,"1,1-dichloroethylene",0.1,ug/l
P1,05/01/2012,Dichloromethane,0.5,ug/l
P1,05/01/2012,"Cis-1,2 Dichloroethylene",0.1,ug/l
P1,05/01/2012,Chloroforme,0.12,ug/l
P1,05/01/2012,"1,1,1, Trichloroethane",0.1,ug/l
P1,05/01/2012,"1,1-dichloroethane",0.1,ug/l
P1,05/01/2012,"Trans-1,2 Dichloroethylene",0.1,ug/l
P1,05/01/2012,"1,2-dichloroethane",0.1,ug/l
P1,05/01/2012,Tetrachlorure de carbone,0.1,ug/l
P1,05/01/2012,Trichloroethylene (TCE),0.1,ug/l
P1,05/01/2012,Tetrachloroethylene (PCE),0.14,ug/l
P1,05/01/2012,TCE+PCE,0.14,ug/l
P1,28/10/2011,Chlorure de vinyle,0.5,ug/l
P1,28/10/2011,"1,1-dichloroethylene",2,ug/l
P1,28/10/2011,Dichloromethane,5,ug/l
P1,28/10/2011,"Cis-1,2 Dichloroethylene",2,ug/l
P1,28/10/2011,Chloroforme,2,ug/l
P1,28/10/2011,"1,1,1, Trichloroethane",2,ug/l
P1,28/10/2011,"1,1-dichloroethane",2,ug/l
P1,28/10/2011,"Trans-1,2 Dichloroethylene",2,ug/l
P1,28/10/2011,"1,2-dichloroethane",1,ug/l
P1,28/10/2011,"1,1,2, Trichloroethane",5,ug/l
P1,28/10/2011,Bromochloromethane,5,ug/l
P1,28/10/2011,Dibromomethane,5,ug/l
P1,28/10/2011,Bromodichloromethane,5,ug/l
P1,28/10/2011,Dibromochloromethane,2,ug/l
P1,28/10/2011,"1,2-dibromoethane",1,ug/l
P1,28/10/2011,Bromoforme,5,ug/l
P1,28/10/2011,Tetrachlorure de carbone,1,ug/l
P1,28/10/2011,Trichloroethylene (TCE),1,ug/l
P1,28/10/2011,Tetrachloroethylene (PCE),1,ug/l
P1,15/04/2011,Chlorure de vinyle,0.5,ug/l
P1,15/04/2011,"1,1-dichloroethylene",2,ug/l
P1,15/04/2011,Dichloromethane,5,ug/l
P1,15/04/2011,"Cis-1,2 Dichloroethylene",2,ug/l
P1,15/04/2011,Chloroforme,2,ug/l
P1,15/04/2011,"1,1,1, Trichloroethane",2,ug/l
P1,15/04/2011,"1,1-dichloroethane",2,ug/l
P1,15/04/2011,"Trans-1,2 Dichloroethylene",2,ug/l
P1,15/04/2011,"1,2-dichloroethane",1,ug/l
P1,15/04/2011,"1,1,2, Trichloroethane",5,ug/l
P1,15/04/2011,Bromochloromethane,5,ug/l
P1,15/04/2011,Dibromomethane,5,ug/l
P1,15/04/2011,Bromodichloromethane,5,ug/l
P1,15/04/2011,Dibromochloromethane,2,ug/l
P1,15/04/2011,"1,2-dibromoethane",1,ug/l
P1,15/04/2011,Bromoforme,5,ug/l
P1,15/04/2011,Tetrachlorure de carbone,1,ug/l
P1,15/04/2011,Trichloroethylene (TCE),1,ug/l
P1,15/04/2011,Tetrachloroethylene (PCE),1,ug/l
P1,28/10/2010,Chlorure de vinyle,0.5,ug/l
